feature,importance,std
resource_sensitivity,0.11399999999999996,0.005138093031466057
asn_risk_score,0.02240000000000002,0.005571355310873652
eventName_encoded,0.01980000000000002,0.0034000000000000033
eventSource_encoded,0.005600000000000005,0.001200000000000001
eventVersion,0.0018000000000000017,0.001400000000000001
month,0.0,0.0
hour,0.0,0.0
day_of_week,0.0,0.0
geo_lon,0.0,0.0
geo_lat,0.0,0.0
is_weekend,0.0,0.0
is_business_hours,0.0,0.0
iso_forest_anomaly,0.0,0.0
iso_forest_score,0.0,0.0
ensemble_score,0.0,0.0
is_anomaly,0.0,0.0
hour_cos,0.0,0.0
hour_sin,0.0,0.0
dow_cos,0.0,0.0
dow_sin,0.0,0.0
