rank,priority_level,priority_score,eventName,threat_prob
1,HIGH,0.6015,GetApiKeys,0.98
2,MEDIUM,0.576,ListAccessKeys,0.97
3,MEDIUM,0.5625,GetAccountPasswordPolicy,1.0
4,MEDIUM,0.5595,ListAccessKeys,0.99
5,MEDIUM,0.5175,ListAccessKeys,1.0
6,MEDIUM,0.513,CreateAccessKey,0.81
7,MEDIUM,0.495,DescribeKeyPairs,1.0
8,MEDIUM,0.495,DescribeKeyPairs,1.0
9,MEDIUM,0.495,ListAccessKeys,1.0
10,MEDIUM,0.492,ListKeys,0.99
11,MEDIUM,0.486,CreateAccessKey,0.77
12,MEDIUM,0.483,CreateAccessKey,0.76
13,MEDIUM,0.474,CreateAccessKey,0.73
14,MEDIUM,0.47250000000000003,ListAccessKeys,1.0
15,MEDIUM,0.46950000000000003,ListAccessKeys,0.99
16,MEDIUM,0.46950000000000003,ListAccessKeys,0.99
17,MEDIUM,0.4665,GetAccountPasswordPolicy,0.98
18,MEDIUM,0.4665,CreateAccessKey,0.98
19,MEDIUM,0.4665,GetAccountPasswordPolicy,0.98
20,MEDIUM,0.4665,GetAccountPasswordPolicy,0.98
21,MEDIUM,0.4665,DescribeKeyPairs,0.98
22,MEDIUM,0.4665,UpdateAccessKey,0.98
23,MEDIUM,0.4635,GetApiKeys,0.97
24,MEDIUM,0.4605,GetAccountPasswordPolicy,0.96
25,MEDIUM,0.4575,GetBucketLocation,1.0
26,MEDIUM,0.4575,GetBucketLocation,1.0
27,MEDIUM,0.4575,GetPolicyVersion,1.0
28,MEDIUM,0.4575,GetBucketNotification,1.0
29,MEDIUM,0.4575,ListBuckets,1.0
30,MEDIUM,0.4575,DescribeInstanceAttribute,1.0
31,MEDIUM,0.4575,GetMethod,1.0
32,MEDIUM,0.4575,GetBucketLocation,1.0
33,MEDIUM,0.4575,GetDocumentationVersions,1.0
34,MEDIUM,0.4575,DescribeVolumeAttribute,1.0
35,MEDIUM,0.4575,DescribeReservedInstancesOfferings,1.0
36,MEDIUM,0.4575,DescribeSnapshots,1.0
37,MEDIUM,0.4575,ListAttachedUserPolicies,1.0
38,MEDIUM,0.4575,ListMFADevices,1.0
39,MEDIUM,0.4575,DescribeSnapshots,1.0
40,MEDIUM,0.4545,DescribeVolumes,0.99
41,MEDIUM,0.4545,ListMFADevices,0.99
42,MEDIUM,0.4545,GetBucketNotification,0.99
43,MEDIUM,0.4545,GetBucketLocation,0.99
44,MEDIUM,0.4545,GetRestApis,0.99
45,MEDIUM,0.4545,DescribeSnapshots,0.99
46,MEDIUM,0.4545,GetAccountAuthorizationDetails,0.99
47,MEDIUM,0.4545,GetBucketLogging,0.99
48,MEDIUM,0.4545,GetPolicy202224v2,0.99
49,MEDIUM,0.4545,GetStages,0.99
50,MEDIUM,0.4545,GetStages,0.99
51,MEDIUM,0.4545,GetBucketVersioning,0.99
52,MEDIUM,0.4545,GetBucketCors,0.99
53,MEDIUM,0.4545,ListFunctions202224,0.99
54,MEDIUM,0.4545,DescribeSnapshots,0.99
55,MEDIUM,0.4545,DescribeSpotPriceHistory,0.99
56,MEDIUM,0.4515,GetFunction202224v2,0.98
57,MEDIUM,0.4515,GetPolicy,0.98
58,MEDIUM,0.4515,GetBucketLifecycle,0.98
59,MEDIUM,0.4515,GetPolicy202224v2,0.98
60,MEDIUM,0.4515,DescribeVolumeStatus,0.98
61,MEDIUM,0.4515,DescribeSpotPriceHistory,0.98
62,MEDIUM,0.4515,GetBucketNotification,0.98
63,MEDIUM,0.4515,GetMethod,0.98
64,MEDIUM,0.4515,ListRoles,0.98
65,MEDIUM,0.4515,GetAccountSettings08306,0.98
66,MEDIUM,0.4515,GetBucketAcl,0.98
67,MEDIUM,0.4515,ListEventSourceMappings202224,0.98
68,MEDIUM,0.4485,DescribeInstanceStatus,0.97
69,MEDIUM,0.4485,PutBucketLogging,0.97
70,MEDIUM,0.4485,GetPolicy202224v2,0.97
71,MEDIUM,0.4485,DescribeSnapshots,0.97
72,MEDIUM,0.4485,PutMethodResponse,0.97
73,MEDIUM,0.4485,AssumeRole,0.97
74,MEDIUM,0.4485,ListAccountAliases,0.97
75,MEDIUM,0.4485,AssumeRole,0.97
76,MEDIUM,0.4455,DescribeVolumeStatus,0.96
77,MEDIUM,0.4455,GetBucketLogging,0.96
78,MEDIUM,0.4455,GetPolicyVersion,0.96
79,MEDIUM,0.4425,GetPolicy202224v2,0.95
80,MEDIUM,0.4365,GetCallerIdentity,0.93
81,MEDIUM,0.435,GetPolicy,1.0
82,MEDIUM,0.435,ListFunctions,1.0
83,MEDIUM,0.435,ListAttachedRolePolicies,1.0
84,MEDIUM,0.435,GetStages,1.0
85,MEDIUM,0.435,DescribeInstances,1.0
86,MEDIUM,0.435,DescribeSpotPriceHistory,1.0
87,MEDIUM,0.435,GetBucketLocation,1.0
88,MEDIUM,0.435,ListMFADevices,1.0
89,MEDIUM,0.435,DescribeSecurityGroups,1.0
90,MEDIUM,0.435,DescribeVolumes,1.0
91,MEDIUM,0.435,DescribeVolumesModifications,1.0
92,MEDIUM,0.435,GetStages,1.0
93,MEDIUM,0.435,GetPolicyVersion,1.0
94,MEDIUM,0.435,GetMethod,1.0
95,MEDIUM,0.435,GetStages,1.0
96,MEDIUM,0.435,GetStages,1.0
97,MEDIUM,0.435,GetStages,1.0
98,MEDIUM,0.435,DescribeSnapshots,1.0
99,MEDIUM,0.435,DescribeTags,1.0
100,MEDIUM,0.435,DescribeVolumesModifications,1.0
